bolum_id,gosterge_id,bolum_adi,istihdam_orani,akademik_istihdam_orani,yonetici_pozisyonu_istihdam_orani,girisimcilik_orani,ortalama_calisma_suresi_ay,katma_degerli_girisim_endeksi,nitelik_uygun_is_orani,nitelik_dusuk_uyusmazlik_orani,nitelik_orta_uyusmazlik_orani,nitelik_yuksek_uyusmazlik_orani,firma_mikro_olcekli_orani,firma_kucuk_olcekli_orani,firma_orta_olcekli_orani,firma_buyuk_olcekli_orani,maas_17002_tl_orani,maas_17003_24999_tl_orani,maas_25000_33999_tl_orani,maas_34000_50999_tl_orani,maas_51000_ustu_tl_orani,ise_baslama_mezun_olmadan_once_orani,ise_baslama_0_6_ay_orani,ise_baslama_6_12_ay_orani,ise_baslama_12_ay_ustu_orani,ise_gecis_ilk_1_ay_orani,ise_gecis_1_6_ay_orani,ise_gecis_6_12_ay_orani,ise_gecis_12_ay_ustu_orani,girisim_omru_0_12_ay_orani,girisim_omru_12_36_ay_orani,girisim_omru_36_60_ay_orani,girisim_omru_60_ay_ustu_orani,sektor_insan_saglik_sosyal_hizmet_orani,sektor_finans_sigorta_faaliyet_orani,sektor_egitim_orani,sektor_toptan_perakende_ticaret_motorlu_tasit_onarim_orani,sektor_imalat_orani,sektor_kamu_yonetim_savunma_sosyal_guvenlik_orani,sektor_insaat_orani,sektor_idari_destek_hizmet_orani,sektor_mesleki_bilimsel_teknik_orani,sektor_konaklama_yiyecek_hizmet_orani,sektor_ulasim_depolama_orani,sektor_bilgi_iletisim_orani,sektor_hanehalklari_isveren_faaliyetleri_orani,sektor_su_kanalizasyon_atik_yonetimi_orani,sektor_tarim_orman_baliksilik_orani,sektor_elektrik_gaz_buhar_uretimi_dagitim_orani,sektor_gayrimenkul_orani,sektor_kultur_sanat_eglence_dinlenme_spor_orani,sektor_madencilik_tas_ocakciligi_orani,sektor_diger_hizmet_orani,sektor_uluslararasi_org_temsil_faaliyet_orani
50,2024,Siy. Bil. Kamu Yön. Ulus. İliş.,71.0,1.0,2.0,9.7,17.3,50.139,17.5,12.0,56.2,14.3,40.1,18.0,17.2,24.7,27.6,30.0,17.3,19.8,5.3,16.0,25.2,14.3,44.5,16.9,53.4,14.8,14.9,51.7,29.3,11.1,7.9,2.6,11.2,6.1,19.6,14.0,1.2,4.4,11.3,8.2,5.4,6.4,3.4,0.0,0.3,0.7,0.4,1.1,0.7,0.2,2.6,0.2
51,2024,Sosyal Bilgiler Öğretmenliği,72.0,0.5,0.9,5.7,15.7,48.723,59.9,2.9,27.1,10.1,25.3,16.4,22.4,35.9,17.5,34.1,23.8,23.0,1.6,5.0,36.3,10.8,47.9,7.5,53.1,19.2,20.2,52.9,27.8,11.3,8.0,2.6,0.8,49.5,12.4,7.9,3.2,4.6,7.2,2.1,4.3,2.5,0.9,0.0,0.1,0.7,0.2,0.5,0.3,0.2,,0.0
52,2024,Sosyal Hizmetler,71.0,1.2,2.2,4.9,13.0,49.467,35.6,16.7,36.7,11.0,41.0,23.8,17.0,18.2,33.0,32.1,15.6,16.0,3.3,17.0,31.0,17.1,34.9,17.3,59.0,13.3,10.4,59.8,31.2,8.0,1.0,25.8,1.6,12.8,13.8,6.7,3.5,2.3,12.1,3.9,5.5,2.5,1.4,0.0,0.1,0.4,0.1,0.6,0.7,0.1,5.6,0.5
53,2024,Sosyoloji,60.0,1.3,2.2,7.2,13.6,49.841,37.7,6.5,44.2,11.6,44.2,25.1,16.2,14.5,33.6,34.4,17.7,11.6,2.7,11.1,31.3,15.3,42.3,13.3,49.2,19.2,18.3,56.7,29.1,9.2,5.0,8.5,2.1,29.6,15.4,8.4,2.2,3.0,10.5,5.4,4.6,2.6,2.7,0.0,0.2,0.4,0.2,0.6,0.6,0.1,2.8,0.1
54,2024,Spor Bilimleri,77.0,1.1,1.0,13.7,12.2,49.325,29.4,22.8,34.7,13.1,31.9,18.8,27.1,22.2,28.2,41.4,15.6,12.3,2.5,20.8,32.0,14.3,32.9,10.9,55.0,19.6,14.5,50.7,29.4,11.4,8.5,1.9,0.9,32.8,11.5,7.5,2.7,3.9,9.9,2.0,6.8,3.3,0.9,0.0,0.2,0.5,0.2,1.0,11.3,0.1,2.6,0.0
55,2024,Su Ürünleri,78.0,1.2,1.7,17.9,20.8,49.883,32.4,11.0,42.9,13.7,54.4,25.3,9.9,10.4,18.6,43.7,17.5,15.5,4.7,19.8,27.6,14.8,37.8,11.2,51.9,20.2,16.7,44.7,26.2,12.8,16.3,4.0,3.9,4.1,19.4,25.4,1.7,3.7,8.6,6.2,5.3,5.7,2.2,0.1,0.5,3.9,0.6,1.1,1.5,0.1,1.9,0.1
56,2024,Sınıf Öğretmenliği,92.0,0.3,0.4,2.4,20.1,48.767,89.0,0.9,7.5,2.6,5.7,12.1,27.0,55.2,7.2,28.8,27.9,33.5,2.6,2.6,57.6,10.7,29.1,10.4,72.6,9.8,7.2,56.3,22.2,10.3,11.2,5.7,0.3,77.5,2.8,1.7,3.6,1.1,3.8,0.9,1.2,0.6,0.3,0.0,0.0,0.2,0.0,0.2,0.1,0.0,,0.0
57,2024,Tarih,63.0,1.2,1.3,8.0,12.6,49.213,36.2,4.7,44.9,14.2,41.2,20.1,16.9,21.8,27.9,36.5,19.4,14.1,2.1,10.4,31.0,14.6,44.0,9.8,50.6,19.8,19.8,55.2,27.4,10.3,7.1,2.6,1.4,32.9,17.5,10.6,2.5,4.9,9.1,3.2,5.4,3.6,1.7,0.0,0.2,0.7,0.2,0.7,0.8,0.2,1.7,0.1
58,2024,Teknik Eğitim,78.0,1.2,2.2,10.7,19.2,51.82,25.5,19.1,45.8,9.6,31.2,19.4,19.2,30.2,26.9,24.7,14.3,21.3,12.8,26.8,33.6,15.4,24.2,21.7,56.5,12.2,9.6,53.8,28.7,9.9,7.6,1.1,5.1,4.5,14.6,24.0,0.5,2.4,6.2,5.9,2.6,9.8,19.3,0.0,0.1,0.4,0.3,0.6,0.4,0.1,2.1,0.0
59,2024,Tekstil Mühendisliği,78.0,1.5,1.4,13.0,24.6,51.085,45.6,13.1,36.6,4.7,38.0,32.2,14.6,15.2,19.0,34.5,19.9,18.5,8.1,38.6,32.2,11.7,17.5,18.8,53.8,14.5,12.9,47.6,28.5,12.3,11.6,1.0,1.1,2.2,21.1,54.5,0.3,1.5,4.7,5.9,1.2,2.2,2.1,0.0,0.1,0.3,0.1,0.2,0.3,0.0,1.1,0.1
